month,crossingType,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aug,Trains,,,,,,,,,,,,,,,,,,,,,
Aug,Truck Containers Empty,,,,,,,,,,,,,,,,,,,,,
Aug,Truck Containers Loaded,,,,,,,,,,,,,,,,,,,,,
Aug,Trucks,,-100,,,-50,-100,,,,,37.5,-100,,,,,,,,,
Sep,Bus Passengers,,,,,,,,,,,,,,,,,,,,,
Sep,Buses,,,,,,,,,,,,,,,,,,,,,
Sep,Pedestrians,,,,,,,,,,,,,,,,,,,,-100,
Sep,Personal Vehicle Passengers,,27.45098,45,-13.793103,-8.307692,57.04698,-21.367521,26.494565,-23.952739,-5.225989,-25.633383,-1.202405,-100,,8.762887,-93.601896,229.62963,401.123596,50.896861,0.594354,-42.54062
Sep,Personal Vehicles,,10,63.203463,-13.793103,-8.307692,40.268456,-10.047847,17.819149,-24.604966,14.371257,-32.722513,26.070039,-100,,5.641026,-92.23301,218.75,323.529412,49.074074,6.832298,-40.406977
Sep,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,
Sep,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,
Sep,Total People,,21.521036,50.599201,-13.793103,-8.307692,51.454139,-17.872969,23.561151,-24.163028,1.055662,-28.205128,8.068783,-100,,7.718696,-93.152866,225.581395,372.857143,52.114804,1.390268,-41.821743
Sep,Total Vehicles,,-100,,,-100,,,,,,,-100,,,,,,,,,
Sep,Train Passengers,,,,,,,,,,,,,,,,,,,,,
Sep,Trains,,,,,,,,,,,,,,,,,,,,,
Sep,Truck Containers Empty,,,,,,,,,,,,,,,,,,,,,
Sep,Truck Containers Loaded,,,,,,,,,,,,,,,,,,,,,
Sep,Trucks,,-100,,,-100,,,,,,,-100,,,,,,,,,
Oct,Bus Passengers,,,,,,,,,,,,,,,,,,,,,
Oct,Buses,,,,,,,,,,,,,,,,,,,,,
Oct,Pedestrians,,,,,,,,,,,,,,,,,,,,-100,
Oct,Personal Vehicle Passengers,,-25.567322,-100,,2.654867,11.781609,-0.771208,15.544041,-11.098655,-10.592686,-33.991537,-10.042735,-100,,24.65374,-87.555556,16.071429,846.153846,23.577236,-2.105263,-25.268817
Oct,Personal Vehicles,,-7.865169,-100,,2.654867,16.666667,-9.1133,8.130081,-4.511278,-7.349081,-31.728045,29.875519,-100,,23.913043,-86.403509,25.806452,656.410256,30.508475,-7.272727,-25.210084
Oct,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,
Oct,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,
Oct,Total People,,-20.474138,-100,,2.654867,13.409962,-3.631757,13.146363,-9.062742,-9.540034,-33.239171,3.526093,-100,,24.40367,-87.168142,19.54023,775,36.813187,-11.566265,-24.977293
Oct,Total Vehicles,,,,300,-100,,,,,,,,,,,,,,,,
Oct,Train Passengers,,,,,,,,,,,,,,,,,,,,,
Oct,Trains,,,,,,,,,,,,,,,,,,,,,
Oct,Truck Containers Empty,,,,,,,,,,,,,,,,,,,,,
Oct,Truck Containers Loaded,,,,,,,,,,,,,,,,,,,,,
Oct,Trucks,,,,300,-100,,,,,,,,,,,,,,,,
Nov,Bus Passengers,,,-100,,,,,,,,,,,,,,,,,,
Nov,Buses,,,-100,,,,,,,,,,,,,,,,,,
Nov,Pedestrians,,,,,,,,,,,,,,,,,,,,-100,
Nov,Personal Vehicle Passengers,,-10.246679,-100,,24.444444,27.827381,21.536671,-15.900383,6.378132,-16.381156,-31.241997,-2.234637,-4,-18.650794,0.97561,-92.512077,925.806452,40.566038,37.136465,-15.497553,9.84556
Nov,Personal Vehicles,,-1.25,-100,,24.444444,31.25,40.589569,-35.645161,10.526316,-16.780045,-28.882834,31.417625,-33.236152,-12.227074,5.472637,-91.981132,917.647059,26.011561,31.651376,-6.620209,-7.462687
Nov,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,
Nov,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,
Nov,Total People,,-5.606258,-100,,24.444444,28.968254,28,-23.257212,7.674236,-16.509091,-30.487805,8.77193,-15.552995,-16.643929,2.454992,-92.332268,922.916667,35.437882,36.240602,-13.245033,3.94402
Nov,Total Vehicles,,,100,-100,,,,,,,,-100,,,,-100,,,,,
Nov,Train Passengers,,,,,,,,,,,,,,,,,,,,,
Nov,Trains,,,,,,,,,,,,,,,,,,,,,
Nov,Truck Containers Empty,,,,,,,,,,,,,,,,,,,,,
