year,month,crossingType,numberOfCrossings
1999,Apr,Personal Vehicle Passengers,6591
1999,May,Buses,21
1999,May,Train Passengers,0
1999,May,Trains,0
1999,May,Truck Containers Loaded,1607
1999,May,Rail Containers Loaded,0
1999,May,Truck Containers Empty,71
1999,May,Bus Passengers,583
1999,May,Personal Vehicles,2744
1999,May,Rail Containers Empty,0
1999,May,Personal Vehicle Passengers,7683
1999,May,Trucks,1744
1999,May,Pedestrians,0
1999,Jun,Rail Containers Empty,0
1999,Jun,Personal Vehicle Passengers,11944
1999,Jun,Trucks,1539
1999,Jun,Truck Containers Loaded,1189
1999,Jun,Bus Passengers,392
1999,Jun,Truck Containers Empty,77
1999,Jun,Trains,0
1999,Jun,Buses,20
1999,Jun,Rail Containers Loaded,0
1999,Jun,Personal Vehicles,4266
1999,Jun,Train Passengers,0
1999,Jun,Pedestrians,0
1999,Jul,Personal Vehicle Passengers,11068
1999,Jul,Trucks,1190
1999,Jul,Trains,0
1999,Jul,Truck Containers Loaded,1267
1999,Jul,Pedestrians,0
1999,Jul,Rail Containers Loaded,0
1999,Jul,Train Passengers,0
1999,Jul,Truck Containers Empty,56
1999,Jul,Rail Containers Empty,0
1999,Jul,Bus Passengers,193
1999,Jul,Personal Vehicles,3950
1999,Jul,Buses,9
1999,Aug,Truck Containers Loaded,1430
1999,Aug,Buses,5
1999,Aug,Train Passengers,0
1999,Aug,Pedestrians,0
1999,Aug,Rail Containers Empty,0
1999,Aug,Trains,0
1999,Aug,Personal Vehicles,4343
1999,Aug,Personal Vehicle Passengers,12148
1999,Aug,Bus Passengers,76
1999,Aug,Rail Containers Loaded,0
1999,Aug,Trucks,1529
1999,Aug,Truck Containers Empty,81
1999,Sep,Bus Passengers,120
1999,Sep,Personal Vehicle Passengers,8100
1999,Sep,Truck Containers Empty,59
1999,Sep,Personal Vehicles,2893
1999,Sep,Rail Containers Loaded,0
1999,Sep,Trains,0
1999,Sep,Trucks,1321
1999,Sep,Pedestrians,3
1999,Sep,Buses,8
1999,Sep,Train Passengers,0
