year,month,crossingType,numberOfCrossings
1998,Mar,Buses,0
1998,Mar,Pedestrians,0
1998,Mar,Truck Containers Loaded,0
1998,Mar,Train Passengers,0
1998,Mar,Personal Vehicle Passengers,0
1998,Mar,Personal Vehicles,0
1998,Apr,Truck Containers Empty,0
1998,Apr,Train Passengers,0
1998,Apr,Trucks,0
1998,Apr,Buses,0
1998,Apr,Rail Containers Loaded,0
1998,Apr,Truck Containers Loaded,0
1998,Apr,Rail Containers Empty,0
1998,Apr,Trains,0
1998,Apr,Personal Vehicle Passengers,0
1998,Apr,Bus Passengers,0
1998,Apr,Pedestrians,0
1998,Apr,Personal Vehicles,0
1998,May,Buses,0
1998,May,Trucks,0
1998,May,Trains,0
1998,May,Rail Containers Empty,0
1998,May,Truck Containers Empty,0
1998,May,Pedestrians,0
1998,May,Personal Vehicle Passengers,0
1998,May,Train Passengers,0
1998,May,Truck Containers Loaded,0
1998,May,Bus Passengers,0
1998,May,Personal Vehicles,0
1998,May,Rail Containers Loaded,0
1998,Jun,Buses,0
1998,Jun,Truck Containers Loaded,0
1998,Jun,Personal Vehicle Passengers,1560
1998,Jun,Trains,0
1998,Jun,Pedestrians,0
1998,Jun,Bus Passengers,0
1998,Jun,Rail Containers Loaded,0
1998,Jun,Personal Vehicles,713
1998,Jun,Rail Containers Empty,0
1998,Jun,Truck Containers Empty,0
1998,Jun,Trucks,19
1998,Jun,Train Passengers,0
1998,Jul,Trucks,16
1998,Jul,Rail Containers Loaded,0
1998,Jul,Train Passengers,0
1998,Jul,Pedestrians,0
1998,Jul,Rail Containers Empty,0
1998,Jul,Truck Containers Empty,0
1998,Jul,Trains,0
1998,Jul,Personal Vehicles,1060
1998,Jul,Bus Passengers,0
1998,Jul,Buses,0
1998,Jul,Personal Vehicle Passengers,2507
1998,Jul,Truck Containers Loaded,0
1998,Aug,Personal Vehicles,965
1998,Aug,Pedestrians,0
1998,Aug,Bus Passengers,0
1998,Aug,Truck Containers Loaded,0
1998,Aug,Trucks,36
1998,Aug,Train Passengers,0
1998,Aug,Buses,0
1998,Aug,Rail Containers Loaded,0
1998,Aug,Rail Containers Empty,0
1998,Aug,Truck Containers Empty,0
1998,Aug,Trains,0
