month,crossingType,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Jul,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jul,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jul,Truck Containers Empty,,8,25,-28,18,20,-27,33,-29,-8,-12,0,0,0,1,-1,,-1,3,-1,7,2,4
Jul,Truck Containers Loaded,,359,-220,-126,285,-91,14,-44,-70,76,-183,0,0,0,563,-241,384,-514,0,-170,125,-108,-25
Jul,Trucks,,365,-194,108,31,-310,237,-9,-116,83,-128,68,153,-184,210,-138,224,-255,-35,-93,78,-59,-6
Aug,Bus Passengers,,53,-53,0,109,-109,58,-58,0,0,0,72,-72,19,-19,,,,,,,,
Aug,Buses,,1,-1,0,3,-3,1,-1,0,0,0,2,-2,1,-1,,,,,,,,
Aug,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-4,,,,
Aug,Personal Vehicle Passengers,,5215,1406,348,-2153,-4816,4638,248,830,759,234,231,-2938,378,591,-100,-363,-4319,244,1775,1105,1093,-1646
Aug,Personal Vehicles,,1929,278,116,85,-2408,2319,124,575,-98,12,98,-1061,-23,187,35,-62,-1994,129,866,502,394,-763
Aug,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Aug,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Aug,Total People,,7197,1631,464,-1959,-7333,7015,314,1405,661,246,401,-4071,374,759,-65,-425,-6309,369,2641,1607,1487,-2409
Aug,Total Vehicles,,563,161,5,-536,-80,339,-94,202,-42,-425,-18,74,-24,725,-405,96,-220,1,-295,267,-186,-69
Aug,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Aug,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Aug,Truck Containers Empty,,1,24,-9,15,0,12,-15,7,-20,-15,0,0,0,,-2,,0,4,-4,9,12,-16
Aug,Truck Containers Loaded,,229,108,16,-290,19,99,-30,108,-16,-243,0,0,0,,-266,57,-150,12,-179,160,-133,-26
Aug,Trucks,,332,30,-2,-264,-96,227,-48,87,-6,-167,-20,76,-25,187,-137,34,-70,-15,-112,98,-65,-27
Sep,Bus Passengers,,0,0,23,-1,-22,0,0,0,0,0,0,163,-67,-96,,,,,,-42,,
Sep,Buses,,0,0,1,0,-1,0,0,0,0,0,1,4,-3,-2,,,,,,-1,,
Sep,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-3,,,,
