month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Jul,Personal Vehicles,,9.714286,-100,,,-40.127389,-52.12766,220,-84.722222,218.181818,-15.714286,11.864407,-6.060606,11.290323,0,17.391304,0,-20.987654,10.9375,-15.492958,25,-12,-31.818182,64.444444,-78.378378,-37.5,330,62.790698,-27.142857,47.058824
Jul,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul,Total,,11.864407,-100,,,-35.791091,-24.162679,70.031546,-80.519481,186.666667,-0.996678,11.073826,-37.160121,26.923077,-3.409091,42.352941,-13.22314,-20.952381,75.100402,-31.651376,-21.47651,14.102564,-40.074906,61.875,-85.328185,97.368421,73.333333,70,-8.144796,82.758621
Jul,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul,Trains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul,Truck Containers Empty,,,,,,,,,,,,35.897436,-100,,,,,-80,-100,,-71.428571,-100,,,,,-100,,,310.526316
Jul,Truck Containers Loaded,,,,,,-3.921569,-12.244898,55.813953,-100,,,-68.75,60,0,-12.5,14.285714,137.5,-42.105263,800,-69.69697,-86.666667,1300,-100,,,,,,,
Jul,Trucks,,39.02439,-100,,,10.204082,-16.666667,48.888889,-55.223881,36.666667,34.146341,5.454545,-84.482759,-11.111111,-12.5,14.285714,112.5,-52.941176,1125,-69.387755,-90,966.666667,-100,,,,-100,,,310.526316
Aug,Bus Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug,Buses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug,Pedestrians,,,,,,,,,,,33.333333,-100,,,,,,-100,,,,,,,,,,,,
Aug,Personal Vehicle Passengers,,-28.028504,-100,,-23.333333,-30.434783,100,-22.8125,-1.214575,-46.311475,-3.053435,55.905512,3.535354,3.902439,-21.126761,-27.97619,23.140496,16.107383,-9.248555,-31.847134,13.084112,29.752066,-40.127389,41.489362,-96.240602,0,1580,46.428571,-13.00813,-12.149533
Aug,Personal Vehicles,,-31.868132,-100,,-10.810811,-17.171717,109.756098,-29.651163,-26.446281,-24.719101,-11.940299,18.644068,12.857143,6.329114,-16.666667,-25.714286,36.538462,-11.267606,-9.52381,-12.280702,6,18.867925,-14.285714,14.814815,-91.935484,-20,1075,36.170213,-14.0625,-21.818182
Aug,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug,Total,,-26.616541,-100,,-7.110092,-17.777778,68.768769,-18.505338,-20.087336,-30.874317,26.086957,10.344828,-14.772727,5.666667,-19.873817,-26.771654,27.419355,5.485232,4.4,-12.260536,-12.663755,16,-17.241379,1.5625,-94.871795,-10,1355.555556,42.748092,-0.534759,-16.666667
Aug,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug,Trains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug,Truck Containers Empty,,,,,,,,,,,220,-25,-100,,-75,0,-100,,,,-52,-100,,-100,,,,,,-25
Aug,Truck Containers Loaded,,,,,,27.5,-29.411765,30.555556,-100,,700,-62.5,33.333333,-25,50,-33.333333,50,-11.111111,187.5,13.043478,-73.076923,-14.285714,366.666667,-100,,,,,,
Aug,Trucks,,-1.612903,-100,,44,11.111111,-15,26.470588,-23.255814,6.060606,85.714286,-35.384615,-80.952381,25,-40,0,0,0,300,-12.5,-66.666667,-14.285714,150,-100,,,,,,-25
Sep,Bus Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep,Buses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep,Pedestrians,,,,,,,,,,,-80,-100,,,,,,,,-100,,,,,,,,-100,,
Sep,Personal Vehicle Passengers,,0.393701,-5.882353,-1.25,-9.704641,-7.943925,60.406091,-100,,30.107527,-71.900826,291.176471,-9.774436,-20,-10.416667,272.093023,-66.875,0,-3.773585,-5.882353,-16.666667,83.75,4.081633,-43.79085,-98.837209,1400,246.666667,78.846154,-1.075269,4.347826
Sep,Personal Vehicles,,-4.580153,2.4,-26.5625,-8.510638,4.651163,52.222222,-100,,25,-24.444444,79.411765,-9.836066,-3.636364,13.207547,56.666667,-46.808511,-10,15.555556,-9.615385,-21.276596,72.972973,-3.125,-33.870968,-97.560976,400,400,100,-14,16.27907
Sep,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep,Total,,5.238095,-6.78733,-10.92233,18.52861,-20.45977,60.404624,-92.972973,294.871795,61.038961,-31.451613,57.647059,-30.223881,-10.160428,-5.952381,171.518987,-60.839161,0.595238,43.195266,-34.710744,-23.417722,112.396694,-10.505837,-44.782609,-98.425197,900,290,83.333333,-4.195804,6.569343
Sep,Train Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep,Trains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep,Truck Containers Empty,,,,,,,,,-100,,95.454545,-46.511628,-100,,-100,,-100,,,,-100,,,,,,,,,-100
Sep,Truck Containers Loaded,,,,,,-63.636364,108.333333,-60,-100,,-38.461538,75,-57.142857,-16.666667,40,0,0,42.857143,330,-88.372093,-100,,-58.333333,-100,,,,,,
