year,month,crossingType,numberOfCrossings
1999,Dec,Rail Containers Empty,0
1999,Dec,Pedestrians,0
1999,Dec,Personal Vehicles,6191
1999,Dec,Truck Containers Empty,10
1999,Dec,Bus Passengers,12
1999,Dec,Trains,0
1999,Dec,Truck Containers Loaded,165
1999,Dec,Trucks,138
1999,Dec,Rail Containers Loaded,0
1999,Dec,Personal Vehicle Passengers,18569
1999,Dec,Buses,1
2000,Jan,Buses,0
2000,Jan,Train Passengers,0
2000,Jan,Bus Passengers,0
2000,Jan,Truck Containers Loaded,69
2000,Jan,Rail Containers Empty,0
2000,Jan,Trucks,121
2000,Jan,Trains,0
2000,Jan,Truck Containers Empty,21
2000,Jan,Personal Vehicles,5147
2000,Jan,Personal Vehicle Passengers,15441
2000,Jan,Rail Containers Loaded,0
2000,Jan,Pedestrians,0
2000,Feb,Truck Containers Loaded,98
2000,Feb,Personal Vehicle Passengers,15621
2000,Feb,Rail Containers Loaded,0
2000,Feb,Truck Containers Empty,33
2000,Feb,Buses,5
2000,Feb,Rail Containers Empty,0
2000,Feb,Trains,0
2000,Feb,Personal Vehicles,5245
2000,Feb,Train Passengers,0
2000,Feb,Trucks,130
2000,Feb,Bus Passengers,0
2000,Feb,Pedestrians,0
2000,Mar,Personal Vehicle Passengers,15678
2000,Mar,Rail Containers Loaded,0
2000,Mar,Bus Passengers,39
2000,Mar,Buses,1
2000,Mar,Rail Containers Empty,0
2000,Mar,Pedestrians,0
2000,Mar,Truck Containers Empty,20
2000,Mar,Trains,0
2000,Mar,Personal Vehicles,5226
2000,Mar,Truck Containers Loaded,108
2000,Mar,Trucks,125
2000,Mar,Train Passengers,0
2000,Apr,Trucks,168
2000,Apr,Buses,8
2000,Apr,Truck Containers Empty,33
2000,Apr,Bus Passengers,96
2000,Apr,Trains,0
2000,Apr,Personal Vehicle Passengers,18489
2000,Apr,Train Passengers,0
2000,Apr,Rail Containers Empty,0
2000,Apr,Truck Containers Loaded,161
2000,Apr,Rail Containers Loaded,0
2000,Apr,Pedestrians,0
2000,Apr,Personal Vehicles,6163
2000,May,Truck Containers Loaded,248
2000,May,Buses,32
2000,May,Rail Containers Empty,0
2000,May,Rail Containers Loaded,0
2000,May,Train Passengers,0
2000,May,Personal Vehicle Passengers,27185
2000,May,Bus Passengers,707
2000,May,Trucks,271
2000,May,Personal Vehicles,9062
2000,May,Trains,0
2000,May,Truck Containers Empty,39
2000,May,Pedestrians,20
2000,Jun,Truck Containers Empty,50
2000,Jun,Rail Containers Loaded,0
2000,Jun,Trucks,258
2000,Jun,Buses,64
2000,Jun,Rail Containers Empty,0
2000,Jun,Trains,0
2000,Jun,Bus Passengers,1387
2000,Jun,Personal Vehicle Passengers,56751
2000,Jun,Train Passengers,0
2000,Jun,Personal Vehicles,17116
2000,Jun,Pedestrians,100
2000,Jun,Truck Containers Loaded,244
2000,Jul,Train Passengers,0
2000,Jul,Bus Passengers,3553
2000,Jul,Truck Containers Loaded,330
2000,Jul,Rail Containers Empty,0
2000,Jul,Truck Containers Empty,29
2000,Jul,Trucks,353
2000,Jul,Trains,0
2000,Jul,Rail Containers Loaded,0
2000,Jul,Personal Vehicle Passengers,93493
2000,Jul,Personal Vehicles,31151
2000,Jul,Pedestrians,155
2000,Jul,Buses,140
2000,Aug,Trucks,0
2000,Aug,Truck Containers Loaded,339
2000,Aug,Trains,0
2000,Aug,Train Passengers,0
2000,Aug,Truck Containers Empty,27
2000,Aug,Buses,0
2000,Aug,Rail Containers Loaded,0
2000,Aug,Pedestrians,0
2000,Aug,Rail Containers Empty,0
2000,Aug,Personal Vehicle Passengers,0
2000,Aug,Bus Passengers,0
2000,Aug,Personal Vehicles,0
2000,Sep,Rail Containers Empty,0
2000,Sep,Pedestrians,22
2000,Sep,Personal Vehicle Passengers,20769
2000,Sep,Trains,0
2000,Sep,Truck Containers Loaded,0
2000,Sep,Rail Containers Loaded,0
2000,Sep,Trucks,311
2000,Sep,Personal Vehicles,14048
2000,Sep,Truck Containers Empty,0
2000,Sep,Buses,67
2000,Sep,Train Passengers,0
2000,Sep,Bus Passengers,1784
2000,Oct,Trucks,314
2000,Oct,Personal Vehicles,5961
2000,Oct,Trains,0
2000,Oct,Personal Vehicle Passengers,17873
2000,Oct,Rail Containers Empty,0
2000,Oct,Truck Containers Loaded,0
2000,Oct,Bus Passengers,0
2000,Oct,Buses,0
2000,Oct,Rail Containers Loaded,0
2000,Oct,Train Passengers,0
2000,Oct,Pedestrians,0
2000,Oct,Truck Containers Empty,0
2000,Nov,Rail Containers Empty,0
2000,Nov,Bus Passengers,0
2000,Nov,Pedestrians,10
2000,Nov,Rail Containers Loaded,0
2000,Nov,Trucks,258
2000,Nov,Personal Vehicles,2974
2000,Nov,Truck Containers Empty,0
2000,Nov,Train Passengers,0
2000,Nov,Trains,0
2000,Nov,Personal Vehicle Passengers,8923
2000,Nov,Buses,0
2000,Nov,Truck Containers Loaded,0
2000,Dec,Personal Vehicles,3171
2000,Dec,Trucks,157
2000,Dec,Train Passengers,0
2000,Dec,Truck Containers Empty,0
2000,Dec,Pedestrians,2
2000,Dec,Buses,1
2000,Dec,Bus Passengers,53
2000,Dec,Trains,0
2000,Dec,Rail Containers Loaded,0
2000,Dec,Personal Vehicle Passengers,9513
2000,Dec,Truck Containers Loaded,0
2000,Dec,Rail Containers Empty,0
2001,Jan,Truck Containers Empty,16
2001,Jan,Bus Passengers,79
2001,Jan,Personal Vehicle Passengers,8727
2001,Jan,Pedestrians,4
2001,Jan,Rail Containers Empty,0
2001,Jan,Rail Containers Loaded,0
2001,Jan,Trucks,187
2001,Jan,Buses,3
2001,Jan,Truck Containers Loaded,174
2001,Jan,Trains,0
2001,Jan,Train Passengers,0
2001,Jan,Personal Vehicles,2909
2001,Feb,Rail Containers Empty,0
2001,Feb,Truck Containers Empty,20
2001,Feb,Buses,3
2001,Feb,Bus Passengers,27
2001,Feb,Personal Vehicles,2682
2001,Feb,Personal Vehicle Passengers,8046
2001,Feb,Truck Containers Loaded,137
2001,Feb,Pedestrians,11
2001,Feb,Rail Containers Loaded,0
2001,Feb,Trains,0
2001,Feb,Trucks,150
2001,Feb,Train Passengers,0
2001,Mar,Bus Passengers,149
2001,Mar,Trucks,213
2001,Mar,Truck Containers Loaded,187
2001,Mar,Rail Containers Empty,0
2001,Mar,Rail Containers Loaded,0
2001,Mar,Train Passengers,0
2001,Mar,Personal Vehicles,3602
2001,Mar,Truck Containers Empty,25
2001,Mar,Trains,0
2001,Mar,Personal Vehicle Passengers,10806
2001,Mar,Buses,3
2001,Mar,Pedestrians,4
2001,Apr,Personal Vehicle Passengers,10590
2001,Apr,Trucks,209
2001,Apr,Personal Vehicles,3530
2001,Apr,Trains,0
2001,Apr,Bus Passengers,367
2001,Apr,Pedestrians,13
2001,Apr,Rail Containers Empty,0
2001,Apr,Rail Containers Loaded,0
2001,Apr,Truck Containers Empty,24
2001,Apr,Truck Containers Loaded,185
2001,Apr,Buses,8
2001,Apr,Train Passengers,0
2001,May,Buses,32
2001,May,Bus Passengers,778
2001,May,Truck Containers Loaded,329
2001,May,Rail Containers Loaded,0
2001,May,Truck Containers Empty,37
2001,May,Personal Vehicle Passengers,20820
2001,May,Pedestrians,35
2001,May,Trucks,367
2001,May,Personal Vehicles,6940
2001,May,Train Passengers,0
2001,May,Trains,0
2001,May,Rail Containers Empty,0
2001,Jun,Rail Containers Loaded,0
2001,Jun,Bus Passengers,1509
2001,Jun,Personal Vehicle Passengers,43728
2001,Jun,Truck Containers Empty,39
2001,Jun,Trucks,233
2001,Jun,Truck Containers Loaded,184
2001,Jun,Personal Vehicles,14576
2001,Jun,Buses,75
2001,Jun,Train Passengers,0
2001,Jun,Trains,0
2001,Jun,Pedestrians,142
2001,Jun,Rail Containers Empty,0
2001,Jul,Train Passengers,0
2001,Jul,Trains,0
2001,Jul,Truck Containers Empty,50
2001,Jul,Pedestrians,276
2001,Jul,Rail Containers Loaded,0
2001,Jul,Trucks,265
2001,Jul,Bus Passengers,3360
2001,Jul,Buses,161
2001,Jul,Truck Containers Loaded,235
2001,Jul,Personal Vehicles,27489
2001,Jul,Personal Vehicle Passengers,82467
2001,Jul,Rail Containers Empty,0
2001,Aug,Rail Containers Empty,0
2001,Aug,Bus Passengers,1759
