year,month,crossingType,numberOfCrossings
1998,Dec,Truck Containers Empty,1195
1998,Dec,Trucks,8825
1998,Dec,Pedestrians,1046
1998,Dec,Train Passengers,81
1999,Jan,Personal Vehicle Passengers,55586
1999,Jan,Bus Passengers,2435
1999,Jan,Trains,29
1999,Jan,Pedestrians,1182
1999,Jan,Personal Vehicles,16163
1999,Jan,Rail Containers Loaded,1316
1999,Jan,Buses,86
1999,Jan,Truck Containers Loaded,8531
1999,Jan,Truck Containers Empty,1247
1999,Jan,Train Passengers,87
1999,Jan,Rail Containers Empty,293
1999,Jan,Trucks,9256
1999,Feb,Train Passengers,93
1999,Feb,Rail Containers Loaded,1413
1999,Feb,Personal Vehicle Passengers,50055
1999,Feb,Bus Passengers,1423
1999,Feb,Buses,63
1999,Feb,Trucks,10177
1999,Feb,Trains,31
1999,Feb,Pedestrians,1148
1999,Feb,Truck Containers Empty,1154
1999,Feb,Personal Vehicles,14570
1999,Feb,Rail Containers Empty,317
1999,Feb,Truck Containers Loaded,8330
1999,Mar,Trains,29
1999,Mar,Pedestrians,1015
1999,Mar,Truck Containers Empty,1363
1999,Mar,Personal Vehicle Passengers,46887
1999,Mar,Buses,67
1999,Mar,Train Passengers,87
1999,Mar,Bus Passengers,1698
1999,Mar,Rail Containers Loaded,1679
1999,Mar,Personal Vehicles,13531
1999,Mar,Rail Containers Empty,409
1999,Mar,Trucks,10120
1999,Mar,Truck Containers Loaded,10596
1999,Apr,Trucks,12716
1999,Apr,Rail Containers Empty,403
1999,Apr,Truck Containers Loaded,11139
1999,Apr,Buses,84
1999,Apr,Bus Passengers,2414
1999,Apr,Pedestrians,1161
1999,Apr,Trains,31
1999,Apr,Truck Containers Empty,1363
1999,Apr,Personal Vehicles,15939
1999,Apr,Rail Containers Loaded,1825
1999,Apr,Personal Vehicle Passengers,55526
1999,Apr,Train Passengers,93
1999,May,Train Passengers,93
1999,May,Trucks,11322
1999,May,Rail Containers Empty,500
1999,May,Rail Containers Loaded,1496
1999,May,Personal Vehicle Passengers,52555
1999,May,Truck Containers Loaded,10034
1999,May,Trains,31
1999,May,Personal Vehicles,15244
1999,May,Buses,90
1999,May,Pedestrians,6115
1999,May,Bus Passengers,2585
1999,May,Truck Containers Empty,1330
1999,Jun,Truck Containers Empty,1349
1999,Jun,Truck Containers Loaded,9665
1999,Jun,Bus Passengers,3118
1999,Jun,Pedestrians,1276
1999,Jun,Rail Containers Loaded,1475
1999,Jun,Trains,31
1999,Jun,Rail Containers Empty,501
1999,Jun,Buses,115
1999,Jun,Personal Vehicle Passengers,63053
1999,Jun,Trucks,10820
1999,Jun,Personal Vehicles,18083
1999,Jun,Train Passengers,93
1999,Jul,Personal Vehicles,23452
1999,Jul,Trucks,9612
1999,Jul,Truck Containers Empty,1534
1999,Jul,Personal Vehicle Passengers,81981
1999,Jul,Pedestrians,1325
1999,Jul,Buses,119
1999,Jul,Trains,29
1999,Jul,Train Passengers,87
1999,Jul,Rail Containers Empty,499
1999,Jul,Rail Containers Loaded,1286
1999,Jul,Bus Passengers,3117
1999,Jul,Truck Containers Loaded,8650
1999,Aug,Trains,31
1999,Aug,Train Passengers,93
1999,Aug,Truck Containers Empty,1374
1999,Aug,Pedestrians,1395
1999,Aug,Rail Containers Loaded,1453
1999,Aug,Rail Containers Empty,574
1999,Aug,Personal Vehicle Passengers,88377
1999,Aug,Truck Containers Loaded,9548
1999,Aug,Trucks,10553
1999,Aug,Bus Passengers,2673
1999,Aug,Personal Vehicles,25467
1999,Aug,Buses,99
1999,Sep,Pedestrians,1384
1999,Sep,Train Passengers,147
1999,Sep,Truck Containers Empty,1542
1999,Sep,Personal Vehicle Passengers,69086
1999,Sep,Rail Containers Loaded,1226
1999,Sep,Personal Vehicles,20751
1999,Sep,Rail Containers Empty,658
1999,Sep,Buses,73
1999,Sep,Bus Passengers,2046
1999,Sep,Trucks,11121
1999,Sep,Truck Containers Loaded,9981
1999,Sep,Trains,49
1999,Oct,Personal Vehicle Passengers,65183
1999,Oct,Personal Vehicles,18670
1999,Oct,Truck Containers Loaded,10221
1999,Oct,Trains,34
1999,Oct,Trucks,11040
1999,Oct,Rail Containers Loaded,1391
1999,Oct,Pedestrians,1338
1999,Oct,Truck Containers Empty,1464
1999,Oct,Buses,52
1999,Oct,Rail Containers Empty,618
1999,Oct,Train Passengers,102
1999,Oct,Bus Passengers,3948
1999,Nov,Buses,1375
1999,Nov,Rail Containers Empty,583
